topic1,topic2,topic_distractor,mean_dist1,mean_dist2,mean_size1,mean_size2,topic_1_score,topic_2_score,topic_dis_score,wordcloud_name,sd_dist1,sd_dist2,sd_size1,sd_size2,num1,num2,time
Sports,Cat,Hat,214.66926731163397,240.082306568928,30.625,19.075,5,5,1,animal and sport,90.61866232680397,94.23939852152976,30.625,19.075,40,40,15.6
Chemical_Elements,Post_Office,Military,312.7918940963094,231.80861238448898,30.975,21.025,5,2,2,chemistry,89.63016570523003,125.66904248417535,30.975,21.025,40,40,21.919
Plant,Post_Office,Types_of_Cars_�,243.38496447690295,246.95977947139878,31.375,18.5,5,3,1,plants,85.18862804636746,105.07804723688646,31.375,18.5,40,40,22.852
Fish,Music_Theory,Furniture,242.824598018097,275.26695731072795,28.325,22.1,5,3,1,fish,93.00249201083678,95.46611010624545,28.325,22.1,40,40,19.711
Science,Types_of_Shoes__,Tools,230.6083465494295,251.4560862831027,28.8,20.1,5,3,1,science ahowa,91.05022688670908,100.38057528749977,28.8,20.1,40,40,15.519
Post_Office,Family,Fruit,222.105922543418,250.50357562408325,29.375,20.65,2,5,2,restructured family,87.64313462395211,113.68394740042149,29.375,20.65,40,40,33.849
Vehicles_and_Transportation,Plant,Computer,252.88394987857447,243.2627754118148,29.375,20.225,5,2,3,The Fast and the Furious,87.4607279293489,95.21395033603679,29.375,20.225,40,40,142.105
Election,Post_Office,Vehicles_and_Transportation,247.3045059090733,248.3658912315152,31.25,20.85,5,4,3,political event,92.59245166323933,111.50435891189223,31.25,20.85,40,40,18.977
Herbs_and_Spices,Reptiles__Turtles__and_Tortoises,Weapons,230.9014675726131,263.6815744399463,32.55,19.625,5,2,2,"cooking related, race",90.99124603637401,114.11517483385076,32.55,19.625,40,40,79.529
Flowers,House_Related,Birthday,252.190483501,231.150810381,29.225,17.9,1,5,1,names,81.0101364305,120.557791206,29.225,17.9,40,40,14.952
