number_of_targets,small_fontsize,smallword_length,big_fontsize,bigword_length,distance_between,flash_time,big_lightness,small_lightness,rule,encoding
2,22,6,21,6,100,300,12,0,opposite_on_circle,color
2,22,6,21,6,100,300,12,6,opposite_on_circle,color
2,22,6,21,6,100,300,12,18,opposite_on_circle,color
2,22,6,21,6,100,300,12,24,opposite_on_circle,color
2,22,6,22,6,100,300,12,0,opposite_on_circle,color
2,22,6,22,6,100,300,12,6,opposite_on_circle,color
2,22,6,22,6,100,300,12,18,opposite_on_circle,color
2,22,6,22,6,100,300,12,24,opposite_on_circle,color
2,22,6,23,6,100,300,12,0,opposite_on_circle,color
2,22,6,23,6,100,300,12,6,opposite_on_circle,color
2,22,6,23,6,100,300,12,18,opposite_on_circle,color
2,22,6,23,6,100,300,12,24,opposite_on_circle,color
2,22,6,20,6,100,300,12,0,opposite_on_circle,color
2,22,6,20,6,100,300,12,6,opposite_on_circle,color
2,22,6,20,6,100,300,12,18,opposite_on_circle,color
2,22,6,20,6,100,300,12,24,opposite_on_circle,color
2,22,6,24,6,100,300,12,0,opposite_on_circle,color
2,22,6,24,6,100,300,12,6,opposite_on_circle,color
2,22,6,24,6,100,300,12,18,opposite_on_circle,color
2,22,6,24,6,100,300,12,24,opposite_on_circle,color
2,22,6,21,6,200,300,12,0,opposite_on_circle,color
2,22,6,21,6,200,300,12,6,opposite_on_circle,color
2,22,6,21,6,200,300,12,18,opposite_on_circle,color
2,22,6,21,6,200,300,12,24,opposite_on_circle,color
2,22,6,22,6,200,300,12,0,opposite_on_circle,color
2,22,6,22,6,200,300,12,6,opposite_on_circle,color
2,22,6,22,6,200,300,12,18,opposite_on_circle,color
2,22,6,22,6,200,300,12,24,opposite_on_circle,color
2,22,6,23,6,200,300,12,0,opposite_on_circle,color
2,22,6,23,6,200,300,12,6,opposite_on_circle,color
2,22,6,23,6,200,300,12,18,opposite_on_circle,color
2,22,6,23,6,200,300,12,24,opposite_on_circle,color
2,22,6,20,6,200,300,12,0,opposite_on_circle,color
2,22,6,20,6,200,300,12,6,opposite_on_circle,color
2,22,6,20,6,200,300,12,18,opposite_on_circle,color
2,22,6,20,6,200,300,12,24,opposite_on_circle,color
2,22,6,24,6,200,300,12,0,opposite_on_circle,color
2,22,6,24,6,200,300,12,6,opposite_on_circle,color
2,22,6,24,6,200,300,12,18,opposite_on_circle,color
2,22,6,24,6,200,300,12,24,opposite_on_circle,color
2,22,6,21,6,300,300,12,0,opposite_on_circle,color
2,22,6,21,6,300,300,12,6,opposite_on_circle,color
2,22,6,21,6,300,300,12,18,opposite_on_circle,color
2,22,6,21,6,300,300,12,24,opposite_on_circle,color
