number_of_targets,small_fontsize,smallword_length,big_fontsize,bigword_length,distance_between,flash_time,big_lightness,small_lightness,rule,encoding,agreement
2,21,6,22,6,100,300,18,0,opposite_on_circle,font,disagree
2,21,6,22,6,100,300,18,6,opposite_on_circle,font,disagree
2,21,6,22,6,100,300,18,12,opposite_on_circle,font,disagree
2,21,6,22,6,100,300,18,18,opposite_on_circle,font,neutral
2,21,6,22,6,100,300,18,24,opposite_on_circle,font,agree
2,21,6,22,6,100,300,18,30,opposite_on_circle,font,agree
2,21,6,22,6,100,300,18,36,opposite_on_circle,font,agree
2,21,6,23,6,100,300,18,0,opposite_on_circle,font,disagree
2,21,6,23,6,100,300,18,6,opposite_on_circle,font,disagree
2,21,6,23,6,100,300,18,12,opposite_on_circle,font,disagree
2,21,6,23,6,100,300,18,18,opposite_on_circle,font,neutral
2,21,6,23,6,100,300,18,24,opposite_on_circle,font,agree
2,21,6,23,6,100,300,18,30,opposite_on_circle,font,agree
2,21,6,23,6,100,300,18,36,opposite_on_circle,font,agree
2,21,6,24,6,100,300,18,0,opposite_on_circle,font,disagree
2,21,6,24,6,100,300,18,6,opposite_on_circle,font,disagree
2,21,6,24,6,100,300,18,12,opposite_on_circle,font,disagree
2,21,6,24,6,100,300,18,18,opposite_on_circle,font,neutral
2,21,6,24,6,100,300,18,24,opposite_on_circle,font,agree
2,21,6,24,6,100,300,18,30,opposite_on_circle,font,agree
2,21,6,24,6,100,300,18,36,opposite_on_circle,font,agree
2,21,6,22,6,250,300,18,0,opposite_on_circle,font,disagree
2,21,6,22,6,250,300,18,6,opposite_on_circle,font,disagree
2,21,6,22,6,250,300,18,12,opposite_on_circle,font,disagree
2,21,6,22,6,250,300,18,18,opposite_on_circle,font,neutral
2,21,6,22,6,250,300,18,24,opposite_on_circle,font,agree
2,21,6,22,6,250,300,18,30,opposite_on_circle,font,agree
2,21,6,22,6,250,300,18,36,opposite_on_circle,font,agree
2,21,6,23,6,250,300,18,0,opposite_on_circle,font,disagree
2,21,6,23,6,250,300,18,6,opposite_on_circle,font,disagree
2,21,6,23,6,250,300,18,12,opposite_on_circle,font,disagree
2,21,6,23,6,250,300,18,18,opposite_on_circle,font,neutral
2,21,6,23,6,250,300,18,24,opposite_on_circle,font,agree
2,21,6,23,6,250,300,18,30,opposite_on_circle,font,agree
2,21,6,23,6,250,300,18,36,opposite_on_circle,font,agree
2,21,6,24,6,250,300,18,0,opposite_on_circle,font,disagree
2,21,6,24,6,250,300,18,6,opposite_on_circle,font,disagree
2,21,6,24,6,250,300,18,12,opposite_on_circle,font,disagree
2,21,6,24,6,250,300,18,18,opposite_on_circle,font,neutral
2,21,6,24,6,250,300,18,24,opposite_on_circle,font,agree
2,21,6,24,6,250,300,18,30,opposite_on_circle,font,agree
2,21,6,24,6,250,300,18,36,opposite_on_circle,font,agree
2,21,6,22,6,400,300,18,0,opposite_on_circle,font,disagree
2,21,6,22,6,400,300,18,6,opposite_on_circle,font,disagree
2,21,6,22,6,400,300,18,12,opposite_on_circle,font,disagree
2,21,6,22,6,400,300,18,18,opposite_on_circle,font,neutral
2,21,6,22,6,400,300,18,24,opposite_on_circle,font,agree
2,21,6,22,6,400,300,18,30,opposite_on_circle,font,agree
2,21,6,22,6,400,300,18,36,opposite_on_circle,font,agree
2,21,6,23,6,400,300,18,0,opposite_on_circle,font,disagree
2,21,6,23,6,400,300,18,6,opposite_on_circle,font,disagree
2,21,6,23,6,400,300,18,12,opposite_on_circle,font,disagree
2,21,6,23,6,400,300,18,18,opposite_on_circle,font,neutral
2,21,6,23,6,400,300,18,24,opposite_on_circle,font,agree
2,21,6,23,6,400,300,18,30,opposite_on_circle,font,agree
2,21,6,23,6,400,300,18,36,opposite_on_circle,font,agree
2,21,6,24,6,400,300,18,0,opposite_on_circle,font,disagree
2,21,6,24,6,400,300,18,6,opposite_on_circle,font,disagree
2,21,6,24,6,400,300,18,12,opposite_on_circle,font,disagree
2,21,6,24,6,400,300,18,18,opposite_on_circle,font,neutral
2,21,6,24,6,400,300,18,24,opposite_on_circle,font,agree
2,21,6,24,6,400,300,18,30,opposite_on_circle,font,agree
2,21,6,24,6,400,300,18,36,opposite_on_circle,font,agree
2,21,6,22,6,550,300,18,0,opposite_on_circle,font,disagree
2,21,6,22,6,550,300,18,6,opposite_on_circle,font,disagree
2,21,6,22,6,550,300,18,12,opposite_on_circle,font,disagree
2,21,6,22,6,550,300,18,18,opposite_on_circle,font,neutral
2,21,6,22,6,550,300,18,24,opposite_on_circle,font,agree
2,21,6,22,6,550,300,18,30,opposite_on_circle,font,agree
2,21,6,22,6,550,300,18,36,opposite_on_circle,font,agree
2,21,6,23,6,550,300,18,0,opposite_on_circle,font,disagree
2,21,6,23,6,550,300,18,6,opposite_on_circle,font,disagree
2,21,6,23,6,550,300,18,12,opposite_on_circle,font,disagree
2,21,6,23,6,550,300,18,18,opposite_on_circle,font,neutral
2,21,6,23,6,550,300,18,24,opposite_on_circle,font,agree
2,21,6,23,6,550,300,18,30,opposite_on_circle,font,agree
2,21,6,23,6,550,300,18,36,opposite_on_circle,font,agree
2,21,6,24,6,550,300,18,0,opposite_on_circle,font,disagree
2,21,6,24,6,550,300,18,6,opposite_on_circle,font,disagree
2,21,6,24,6,550,300,18,12,opposite_on_circle,font,disagree
2,21,6,24,6,550,300,18,18,opposite_on_circle,font,neutral
2,21,6,24,6,550,300,18,24,opposite_on_circle,font,agree
2,21,6,24,6,550,300,18,30,opposite_on_circle,font,agree
2,21,6,24,6,550,300,18,36,opposite_on_circle,font,agree
