turker_id,time,distance_between_targets,question_index,sizediff,accuracy,clicked_x,clicked_y,index_of_difficulty
trial2,0.93,100,1,1,1,-31.7323,-38.933,1.41841
trial2,0.948,300,3,1,0,-134.336,66.753,2.20271
trial2,0.874,500,5,1,1,-134.586,210.91,3.86139
trial2,0.724,100,7,2,1,-46.743,16.97,0.2348
trial2,0.914,300,9,2,1,85.8921,-123.175,3.085
trial2,1.14,500,11,2,1,-206.269,-140.832,3.28123
trial2,0.867,100,13,3,0,19.6922,-45.956,1.66428
trial2,0.908,200,14,3,1,-23.9445,-97.106,2.7433
trial2,0.983,300,15,3,1,-79.7455,127.085,3.13135
trial2,0.796,400,16,3,1,113.362,164.727,3.50621
trial2,0.833,500,17,3,1,219.154,120.184,3.05144
trial2,0.937,600,18,3,1,-3.0795,299.985,4.37076
trial2,0.644,100,19,1,1,-37.7239,32.481,1.16989
trial2,0.706,200,20,1,1,-40.688,91.219,2.65498
trial2,1.17,300,21,1,1,1.65605,-149.994,3.37075
trial2,1.175,400,22,1,0,-179.314,89.304,2.62035
trial2,3.549,500,23,1,0,-16.4454,-249.482,4.10468
trial2,1.041,600,24,1,1,30.1621,298.509,4.36351
trial2,0.727,100,25,2,1,-43.0425,25.548,0.815613
trial2,0.976,200,26,2,1,-67.2935,-74.027,2.35139
trial2,0.887,300,27,2,1,124.501,-83.57,2.52744
trial2,0.981,400,28,2,0,-129.357,152.839,3.39621
trial2,0.833,500,29,2,1,-175.066,178.532,3.62181
trial2,1.025,600,30,2,1,-217.26,206.943,3.83489
trial2,0.637,100,31,3,1,-47.245,17.517,0.261554
trial2,0.72,200,32,3,1,75.0669,65.595,2.18204
trial2,0.912,200,2,1,0,-9.3778,-99.56,2.7795
trial2,1.146,400,4,1,1,-16.6684,199.334,3.78085
trial2,0.967,600,6,1,1,117.699,275.794,4.25015
trial2,1.07,200,8,2,1,-16.2939,-98.615,2.76645
trial2,0.922,400,10,2,0,63.9992,189.481,3.70795
trial2,1.027,600,12,2,1,-252.723,-161.199,3.47589
trial2,0.927,300,33,3,1,46.074,-142.615,3.29923
trial2,0.756,400,34,3,1,-27.0061,198.224,3.77261
trial2,1.116,500,35,3,1,114.782,-221.878,3.93674
trial2,1.314,600,36,3,1,120.73,-274.452,4.24323
trial2,0.678,100,37,1,0,-29.85,-39.896,1.4652
trial2,0.815,200,38,1,0,79.37,-61.206,2.07433
trial2,0.912,300,39,1,0,-75.909,-129.205,3.15695
trial2,1.065,400,40,1,1,88.1225,179.509,3.63013
