Dragon Fruit,208.508px,134.919px,649.981px,449.986px,10,"1<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 149.498px; top: 193.993px;"">Boysenberries</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 249.898px; top: 256.839px;"">Bananas</span><span id=""JQWC_word_2"" class=""w9 CloudWord"" style=""position: absolute; left: 208.508px; top: 134.919px;"">Dragon Fruit</span><span id=""JQWC_word_3"" class=""w6 CloudWord"" style=""position: absolute; left: 194.721px; top: 91.3017px;"">Indian Fig</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 152.555px; top: 325.467px;"">Damson plum</span><span id=""JQWC_word_5"" class=""w4 CloudWord"" style=""position: absolute; left: 41.0129px; top: 273.359px;"">Honeydew melon</span><span id=""JQWC_word_6"" class=""w4 CloudWord"" style=""position: absolute; left: 467.401px; top: 260.665px;"">Imbe</span><span id=""JQWC_word_7"" class=""w3 CloudWord"" style=""position: absolute; left: 361.021px; top: 100.557px;"">Cantaloupe</span><span id=""JQWC_word_8"" class=""w3 CloudWord"" style=""position: absolute; left: 119.05px; top: 170.393px;"">Cherries</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 211.453px; top: 311.599px;"">Fig</span>"
Indian Fig,194.721px,91.3017px,649.981px,449.986px,10,"2<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 149.498px; top: 193.993px;"">Boysenberries</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 249.898px; top: 256.839px;"">Bananas</span><span id=""JQWC_word_2"" class=""w9 CloudWord"" style=""position: absolute; left: 208.508px; top: 134.919px;"">Dragon Fruit</span><span id=""JQWC_word_3"" class=""w6 CloudWord"" style=""position: absolute; left: 194.721px; top: 91.3017px;"">Indian Fig</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 152.555px; top: 325.467px;"">Damson plum</span><span id=""JQWC_word_5"" class=""w4 CloudWord"" style=""position: absolute; left: 41.0129px; top: 273.359px;"">Honeydew melon</span><span id=""JQWC_word_6"" class=""w4 CloudWord"" style=""position: absolute; left: 467.401px; top: 260.665px;"">Imbe</span><span id=""JQWC_word_7"" class=""w3 CloudWord"" style=""position: absolute; left: 361.021px; top: 100.557px;"">Cantaloupe</span><span id=""JQWC_word_8"" class=""w3 CloudWord"" style=""position: absolute; left: 119.05px; top: 170.393px;"">Cherries</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 211.453px; top: 311.599px;"">Fig</span>"
Damson plum,152.555px,325.467px,649.981px,449.986px,10,"3<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 149.498px; top: 193.993px;"">Boysenberries</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 249.898px; top: 256.839px;"">Bananas</span><span id=""JQWC_word_2"" class=""w9 CloudWord"" style=""position: absolute; left: 208.508px; top: 134.919px;"">Dragon Fruit</span><span id=""JQWC_word_3"" class=""w6 CloudWord"" style=""position: absolute; left: 194.721px; top: 91.3017px;"">Indian Fig</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 152.555px; top: 325.467px;"">Damson plum</span><span id=""JQWC_word_5"" class=""w4 CloudWord"" style=""position: absolute; left: 41.0129px; top: 273.359px;"">Honeydew melon</span><span id=""JQWC_word_6"" class=""w4 CloudWord"" style=""position: absolute; left: 467.401px; top: 260.665px;"">Imbe</span><span id=""JQWC_word_7"" class=""w3 CloudWord"" style=""position: absolute; left: 361.021px; top: 100.557px;"">Cantaloupe</span><span id=""JQWC_word_8"" class=""w3 CloudWord"" style=""position: absolute; left: 119.05px; top: 170.393px;"">Cherries</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 211.453px; top: 311.599px;"">Fig</span>"
Honeydew melon,41.0129px,273.359px,649.981px,449.986px,10,"4<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 149.498px; top: 193.993px;"">Boysenberries</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 249.898px; top: 256.839px;"">Bananas</span><span id=""JQWC_word_2"" class=""w9 CloudWord"" style=""position: absolute; left: 208.508px; top: 134.919px;"">Dragon Fruit</span><span id=""JQWC_word_3"" class=""w6 CloudWord"" style=""position: absolute; left: 194.721px; top: 91.3017px;"">Indian Fig</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 152.555px; top: 325.467px;"">Damson plum</span><span id=""JQWC_word_5"" class=""w4 CloudWord"" style=""position: absolute; left: 41.0129px; top: 273.359px;"">Honeydew melon</span><span id=""JQWC_word_6"" class=""w4 CloudWord"" style=""position: absolute; left: 467.401px; top: 260.665px;"">Imbe</span><span id=""JQWC_word_7"" class=""w3 CloudWord"" style=""position: absolute; left: 361.021px; top: 100.557px;"">Cantaloupe</span><span id=""JQWC_word_8"" class=""w3 CloudWord"" style=""position: absolute; left: 119.05px; top: 170.393px;"">Cherries</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 211.453px; top: 311.599px;"">Fig</span>"
Boysenberries,149.497px,193.993px,649.981px,449.986px,10,"5<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 149.498px; top: 193.993px;"">Boysenberries</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 249.898px; top: 256.839px;"">Bananas</span><span id=""JQWC_word_2"" class=""w9 CloudWord"" style=""position: absolute; left: 208.508px; top: 134.919px;"">Dragon Fruit</span><span id=""JQWC_word_3"" class=""w6 CloudWord"" style=""position: absolute; left: 194.721px; top: 91.3017px;"">Indian Fig</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 152.555px; top: 325.467px;"">Damson plum</span><span id=""JQWC_word_5"" class=""w4 CloudWord"" style=""position: absolute; left: 41.0129px; top: 273.359px;"">Honeydew melon</span><span id=""JQWC_word_6"" class=""w4 CloudWord"" style=""position: absolute; left: 467.401px; top: 260.665px;"">Imbe</span><span id=""JQWC_word_7"" class=""w3 CloudWord"" style=""position: absolute; left: 361.021px; top: 100.557px;"">Cantaloupe</span><span id=""JQWC_word_8"" class=""w3 CloudWord"" style=""position: absolute; left: 119.05px; top: 170.393px;"">Cherries</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 211.453px; top: 311.599px;"">Fig</span>"
Dragon Fruit,171.997px,193.993px,649.981px,449.986px,10,"<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 171.998px; top: 193.993px;"">Dragon Fruit</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 215.314px; top: 131.892px;"">Cherries</span><span id=""JQWC_word_2"" class=""w7 CloudWord"" style=""position: absolute; left: 230.66px; top: 264.838px;"">Indian Fig</span><span id=""JQWC_word_3"" class=""w7 CloudWord"" style=""position: absolute; left: 255.089px; top: 309.785px;"">Crab apples</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 226.646px; top: 91.5859px;"">Gooseberries</span><span id=""JQWC_word_5"" class=""w6 CloudWord"" style=""position: absolute; left: 422.345px; top: 259.631px;"">Entawak</span><span id=""JQWC_word_6"" class=""w5 CloudWord"" style=""position: absolute; left: 33.6197px; top: 260.261px;"">Clementine</span><span id=""JQWC_word_7"" class=""w4 CloudWord"" style=""position: absolute; left: 282.159px; top: 367.213px;"">Damson plum</span><span id=""JQWC_word_8"" class=""w4 CloudWord"" style=""position: absolute; left: 220.306px; top: 60.9938px;"">Honeycrisp Apples</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 414.06px; top: 174.067px;"">Finger Lime</span>"
Dragon Fruit,171.997px,193.993px,649.981px,449.986px,10,"<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 171.998px; top: 193.993px;"">Dragon Fruit</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 215.314px; top: 131.892px;"">Cherries</span><span id=""JQWC_word_2"" class=""w7 CloudWord"" style=""position: absolute; left: 230.66px; top: 264.838px;"">Indian Fig</span><span id=""JQWC_word_3"" class=""w7 CloudWord"" style=""position: absolute; left: 255.089px; top: 309.785px;"">Crab apples</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 226.646px; top: 91.5859px;"">Gooseberries</span><span id=""JQWC_word_5"" class=""w6 CloudWord"" style=""position: absolute; left: 422.345px; top: 259.631px;"">Entawak</span><span id=""JQWC_word_6"" class=""w5 CloudWord"" style=""position: absolute; left: 33.6197px; top: 260.261px;"">Clementine</span><span id=""JQWC_word_7"" class=""w4 CloudWord"" style=""position: absolute; left: 282.159px; top: 367.213px;"">Damson plum</span><span id=""JQWC_word_8"" class=""w4 CloudWord"" style=""position: absolute; left: 220.306px; top: 60.9938px;"">Honeycrisp Apples</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 414.06px; top: 174.067px;"">Finger Lime</span>"
Clementine,33.6197px,260.261px,649.981px,449.986px,10,"<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 171.998px; top: 193.993px;"">Dragon Fruit</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 215.314px; top: 131.892px;"">Cherries</span><span id=""JQWC_word_2"" class=""w7 CloudWord"" style=""position: absolute; left: 230.66px; top: 264.838px;"">Indian Fig</span><span id=""JQWC_word_3"" class=""w7 CloudWord"" style=""position: absolute; left: 255.089px; top: 309.785px;"">Crab apples</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 226.646px; top: 91.5859px;"">Gooseberries</span><span id=""JQWC_word_5"" class=""w6 CloudWord"" style=""position: absolute; left: 422.345px; top: 259.631px;"">Entawak</span><span id=""JQWC_word_6"" class=""w5 CloudWord"" style=""position: absolute; left: 33.6197px; top: 260.261px;"">Clementine</span><span id=""JQWC_word_7"" class=""w4 CloudWord"" style=""position: absolute; left: 282.159px; top: 367.213px;"">Damson plum</span><span id=""JQWC_word_8"" class=""w4 CloudWord"" style=""position: absolute; left: 220.306px; top: 60.9938px;"">Honeycrisp Apples</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 414.06px; top: 174.067px;"">Finger Lime</span>"
Indian Fig,230.66px,264.838px,649.981px,449.986px,10,"<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 171.998px; top: 193.993px;"">Dragon Fruit</span><span id=""JQWC_word_1"" class=""w9 CloudWord"" style=""position: absolute; left: 215.314px; top: 131.892px;"">Cherries</span><span id=""JQWC_word_2"" class=""w7 CloudWord"" style=""position: absolute; left: 230.66px; top: 264.838px;"">Indian Fig</span><span id=""JQWC_word_3"" class=""w7 CloudWord"" style=""position: absolute; left: 255.089px; top: 309.785px;"">Crab apples</span><span id=""JQWC_word_4"" class=""w6 CloudWord"" style=""position: absolute; left: 226.646px; top: 91.5859px;"">Gooseberries</span><span id=""JQWC_word_5"" class=""w6 CloudWord"" style=""position: absolute; left: 422.345px; top: 259.631px;"">Entawak</span><span id=""JQWC_word_6"" class=""w5 CloudWord"" style=""position: absolute; left: 33.6197px; top: 260.261px;"">Clementine</span><span id=""JQWC_word_7"" class=""w4 CloudWord"" style=""position: absolute; left: 282.159px; top: 367.213px;"">Damson plum</span><span id=""JQWC_word_8"" class=""w4 CloudWord"" style=""position: absolute; left: 220.306px; top: 60.9938px;"">Honeycrisp Apples</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 414.06px; top: 174.067px;"">Finger Lime</span>"
Honeycrisp Apples,72.8536px,129.967px,649.981px,449.986px,9,"<span id=""JQWC_word_0"" class=""w10 CloudWord"" style=""position: absolute; left: 185.998px; top: 193.993px;"">Blueberries</span><span id=""JQWC_word_1"" class=""w10 CloudWord"" style=""position: absolute; left: 72.8536px; top: 129.967px;"">Honeycrisp Apples</span><span id=""JQWC_word_2"" class=""w9 CloudWord"" style=""position: absolute; left: 161.876px; top: 273.012px;"">Grapefruit</span><span id=""JQWC_word_3"" class=""w9 CloudWord"" style=""position: absolute; left: 126.053px; top: 58.4438px;"">Damson plum</span><span id=""JQWC_word_4"" class=""w8 CloudWord"" style=""position: absolute; left: 118.937px; top: 337.326px;"">Farkleberry</span><span id=""JQWC_word_6"" class=""w6 CloudWord"" style=""position: absolute; left: 378.008px; top: 334.908px;"">Finger Lime</span><span id=""JQWC_word_7"" class=""w2 CloudWord"" style=""position: absolute; left: 444.25px; top: 265.136px;"">Honeydew melon</span><span id=""JQWC_word_8"" class=""w1 CloudWord"" style=""position: absolute; left: 415.815px; top: 302.208px;"">Hackberry</span><span id=""JQWC_word_9"" class=""w1 CloudWord"" style=""position: absolute; left: 303.344px; top: 261.341px;"">Grapes</span>"
